method,train_history_size,test_ground_truth_size,CategoryDiversity,SourceDiversity,EmbeddingDiversity,Novelty,Precision@5,Recall@5,HitRate@5,NDCG@5,MAP@5,MRR@5,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,MRR@10,Precision@20,Recall@20,HitRate@20,NDCG@20,MAP@20,MRR@20,CatalogCoverage
Category+Freshness,16.444,10.0,0.08270000000000001,0.1303,0.7220376970767974,3.705750976090944,0.048400000000000006,0.024200000000000003,0.22,0.04633678835608446,0.02316666666666667,0.10276666666666666,0.0398,0.0398,0.33,0.04228804647259216,0.014373492063492064,0.11740238095238095,0.0407,0.0814,0.548,0.06454873219319446,0.0188050204456706,0.13195088495096235,0.11178020323673316
Hybrid,16.444,10.0,0.0737,0.1303,0.45527672618627546,3.6173917962436164,0.0816,0.0408,0.342,0.08388779387828302,0.04609333333333333,0.18743333333333334,0.0792,0.0792,0.536,0.08366023815784017,0.03130611111111111,0.2135253968253968,0.0752,0.1504,0.77,0.12239669830223218,0.04189129515994841,0.22969901827618547,0.5494919081671058
Latest,16.444,10.0,0.05,0.05,0.6346599298119545,3.5746826108512595,0.006,0.003,0.026,0.006570437725978973,0.003586666666666667,0.015133333333333334,0.004,0.004,0.034,0.005095920165434315,0.0019338888888888889,0.01613888888888889,0.0057,0.0114,0.08,0.009107729814790515,0.002626041974880984,0.019119942716382343,0.009032743695897629
Popular+Freshness,16.444,10.0,0.0512,0.15159999999999998,0.6922989687025547,3.177472566845807,0.007600000000000001,0.0038000000000000004,0.032,0.007500958051499346,0.0038533333333333336,0.016666666666666666,0.004200000000000001,0.004200000000000001,0.036,0.005288238222096534,0.0019738888888888887,0.01713888888888889,0.0032,0.0064,0.05,0.006380052376008019,0.0021411880190672764,0.0179765860730257,0.016560030109145654
Random,16.444,10.0,0.501,0.1918,0.8332432221323252,3.6084114318855876,0.0036,0.0018,0.018,0.0036008471786364024,0.0017600000000000003,0.0088,0.0022,0.0022,0.022,0.0027126465199248818,0.000941904761904762,0.009419047619047619,0.003,0.006,0.06,0.004788311660274073,0.001210645073880368,0.012106450738803681,0.979299962363568
